Bill Of Materials,,,,,,
Item # (Green = Purchased),"Description (Highlighted = recycling, no purchase necessary)",Vendor (Red = Change),Part Number,Qty,Cost ($),Link to Where to Purchase
1,2020 Aluminum Extrusions (200mm),Amazon - VICHSAMWY,N/A,2,$14.99,https://www.amazon.com/European-Standard-Anodized-Aluminum-Extrusion/dp/B09JSNM85H/147-5007961-6940856
2,Ender 3 Mainboard,Amazon - Creality Store,N/A,1,$39.99,https://www.amazon.com/Creality-Motherboard-Upgraded-Printer-TMC2225/dp/B0C77RBBP5?crid=3LYLUE282FAUE&dib=eyJ2IjoiMSJ9.OZOOhkI5w8PB71Cwkc3IBcu-JrhOJSbDvHhnPaEaIRPBIDhJFvBYE9eYWWwgnkBShaB371yOlI-8U09LLSVtGJmYcIe7wq4Lhab6DdK2obhacG499-ziFgHky4EB7NVhScBeAr2XGLDRmMqN7_zf390VOQ9ZuLCeCgbK8Aae58hQIEsY-jjcxjrFkISpnaKSmeW9LRWhAFsUXx6smZctQZJFmLRuWzf1oIzxhLv1RPU.mbAR529zCrIwtmQIINRICzO7116YKbOxsQdc99cRIig&dib_tag=se&keywords=creality+4.2.2+board&qid=1740073854&sprefix=creality+4.2.2+board%2Caps%2C121&sr=8-3
4,24V 6Ah Lifepo4 Battery,Amazon - KBT,N/A,1,$44.99,https://www.amazon.com/letoom-LiFePO4-Rechargeable-Phosphate-Batteries/dp/B0DSRT3BB8
3,E3D V6 Hot End Full Kit,Amazon - Ovenot,N/A,1,$13.50,https://www.amazon.com/Wangdd22-1-75mm-Printer-Extruder-Accessories/dp/B06XBXDJY3
4,1/8 inch PET Expandable Braided Sleeving,Amazon - Alex tech store,N/A,1,$7.99,https://www.amazon.com/25ft-Expandable-Braided-Sleeving-Sleeve/dp/B071G5L29C
5,T Nuts,Amazon - Socell,N/A,1,$7.99,https://www.amazon.com/Socell-180Pcs-Hammer-Fastener-Assortment/dp/B07Z4YH6NP
6,Belt Idler Pulley,Amazon - WINSINN,N/A,1,$8.99,https://www.amazon.com/WINSINN-Idler-Pulley-Timing-Aluminum/dp/B07BPHPYTN
7,Belt Timing Pulley,Amazon - Saipor,N/A,1,$6.99,https://www.amazon.com/Saiper-Aluminum-Synchronous-Compatible-Printer/dp/B07M9FT3H1
8,"Screws, Nuts, and Washers (Assortment/Kit)",Amazon - wugongshan,N/A,1,$13.98,https://www.amazon.com/Assortment-Machine-Washers-Phillips-Slotted/dp/B0BN297MP5
9,Linear Rail (200mm),Amazon - NUIBBYED,N/A,1,$16.99,https://www.amazon.com/MGN12H-Linear-Carriage-Printer-Machines/dp/B0BYVCXK88
10,Voltage Regulator,Amazon - WWZMDiB,N/A,1,$9.99,https://www.pcbway.com/
11,Flexible Shaft Coupler,Amazon - Eewolf,N/A,1,$9.99,https://www.amazon.com/Coupler-Flexible-Couplings-Printer-Eewolf/dp/B07BBP4H8C
12,Voron M4 Extruder Parts Kit,Amazon - FTVOGUE,N/A,1,$15.60,https://www.amazon.com/FTVOGUE-Accessories-Extrusion-Mechanism-Hardware/dp/B0BFCCTYDY
13,5015 24v Blower Fan,Amazon - Richer-R,N/A,1,$6.77,https://www.amazon.com/Richer-R-Printer-Turbofan-Accessories-rotation/dp/B07CLG7RQY
14,4020 24v Axial Fan,Aliexpress - YTF Technology,N/A,1,$1.30,https://www.aliexpress.us/item/3256803185681643.html
15,CR-Touch Leveling Probe,Amazon - Skouphy,N/A,1,$39.00,https://www.amazon.com/Creality-Leveling-Compatible-Mainboard-Printer/dp/B098LQ9WPX
16,NEMA 17 Stepper Motors,Stepperonline,17HS13-0404S1,4,$8.48,https://www.omc-stepperonline.com/nema-17-bipolar-1-8deg-26ncm-36-8oz-in-0-4a-12v-42x42x34mm-4-wires-17hs13-0404s1
17,Linear Ball Bearings,Amazon - Edoneery,N/A,1,$11.99,https://www.amazon.com/LM8UU-Linear-Bearings-Length-Printer/dp/B087WPGQ8T/147-5007961-6940856
18,Linear Rods (200mm),Amazon - akkacm,N/A,1,$15.99,https://www.amazon.com/Hardened-Chrome-Plated-Linear-Printer/dp/B09YRLS34X
19,(ONLY ONE OF EACH) 200mm Lead Screw and Lead Screw Nut,Amazon - VICHSAMWY,N/A,1,$4.99,https://www.amazon.com/400mm%EF%BC%8815-75-Inches%EF%BC%89Tr8x8-Thread-Printer-Machine/dp/B0BWYL5RNC
20,Split Shaft Collar,Amazon - PATIKIL,N/A,1,$7.29,https://www.amazon.com/PATIKIL-Thickness-Aluminum-Locking-Industry/dp/B0DDC83NVB
21,Needle Roller Thrust Bearings (2x) and Washers (2x),Amazon - uxcell,N/A,1,$6.19,https://www.amazon.com/uxcell-Bearings-Diameter-Thickness-Hardness/dp/B07PDXYQTJ
22,GT2 Belt 6mm,Aliexpress - 	3DPrinterSuper Store,N/A,1,$3.79,https://www.aliexpress.us/item/3256808197552885.html
23,PEI Magnetic Buildplate (120mmx120mmm),Amazon - G-hubble,N/A,1,$10.99,https://www.amazon.com/120x120mm-Textured-Magnetic-Adhesive-Printer/dp/B09TXM7VFC
24,Bowden Tubing,Amazon - Creality Store,N/A,1,$5.99,https://www.amazon.com/dp/B09WDGNZQM
25,Raspberry pi 0w,Amazon - Raspberry pi,N/A,1,$22.78,https://www.amazon.com/Raspberry-Pi-Zero-Wireless-model/dp/B06XFZC3BX
V2 ENTRIES,"ITEMS LISTED BELOW ARE A PART OF THE UPGRADE, ITEMS LISTED ABOVE HAVE ALL BEEN PURCHASED ALEADY AND ARE NO LONGER RELEVANT. ",,,,,
26,2020 Aluminum Extrusions (300mm),Amazon - VICHSAMWY,N/A,1,$15.99,https://www.amazon.com/European-Standard-Anodized-Aluminum-Extrusion/dp/B09JSP8WMV
27,BTT SKR PICO V1 (motherboard),Amazon - BTT,N/A,1,$35.99,https://www.amazon.com/BIGTREETECH-Controller-Raspberry-Printing-Motherboard/dp/B09MYKL9MP
28,Metric Screw Assortment,Amazon - Kadrick,N/A,1,$16.99,https://www.amazon.com/Kadrick-Assortment-M2-M3-M4/dp/B0CQJZCC9T
29,Raspberry Pi Zero 2 W,Amazon - Raspberry Pi,N/A,1,$24.99,https://www.amazon.com/Raspberry-Zero-Bluetooth-RPi-2W/dp/B09LH5SBPS
30,Linear Rods (300mm) (Count of 2),Amazon - Vigorous,N/A,1,$7.99,https://www.amazon.com/8mm-300mm-Vigorous-Hardened-Printer/dp/B0CG37KS93
31,PLA 1kg (White),Amazon - Overture,N/A,1,$18.99,https://www.amazon.com/OVERTURE-Filament-Printer-Dimensional-Accuracy/dp/B089S1HB8K
32,(ONLY ONE OF EACH) 300mm Lead Screw and Lead Screw Nut,Amazon - VICHSAMWY,N/A,1,$9.99,https://www.amazon.com/dp/B0BWYH5ZKG
33,608RS Ball bearings,Amazon - SHKI,N/A,1,$6.99,https://www.amazon.com/SHKI/dp/B09PKD8QZZ
34,Custom PCB - Voltage Regulator,PCBWAY,N/A,1,est. $30,https://www.pcbway.com/
35,2020 Aluminum Extrusions (200mm),Amazon - VICHSAMWY,N/A,1,$14.99,https://www.amazon.com/European-Standard-Anodized-Aluminum-Extrusion/dp/B09JSNM85H/147-5007961-6940856
